id,Date,Open,Close,High,Low,Shares_Traded,Turnover,created_at,created_by,updated_at,updated_by,status
207,2019-07-19,11627.95,11640.35,11399.3,11419.25,446049198,17326.4,,,,,
208,2019-07-22,11392.85,11398.15,11301.25,11346.2,516044335,19304.23,,,,,
209,2019-07-23,11372.25,11398.15,11302.8,11331.05,458931191,19199.32,,,,,
210,2019-07-24,11322.45,11359.75,11229.8,11271.3,413202832,18353.13,,,,,
211,2019-07-25,11290.4,11361.4,11239.35,11252.15,553676897,24329.21,,,,,
212,2019-07-26,11247.45,11307.6,11210.05,11284.3,522670420,20350.38,,,,,
213,2019-07-29,11307.5,11310.95,11152.4,11189.2,482862376,18705.92,,,,,
214,2019-07-30,11213.7,11267.45,11072.65,11085.4,479059399,20545.71,,,,,
215,2019-07-31,11034.05,11145.3,10999.4,11118,536694278,23681.22,,,,,
216,2019-08-01,11060.2,11076.75,10881,10980,499918953,21048.32,,,,,
217,2019-08-02,10930.3,11080.15,10848.95,10997.35,547416246,23972.04,,,,,
218,2019-08-05,10895.8,10895.8,10782.6,10862.6,506556609,20824.1,,,,,
219,2019-08-06,10815.4,11018.55,10813.8,10948.25,517891491,21676.4,,,,,
220,2019-08-07,10958.1,10975.65,10835.9,10855.5,548465787,21228.28,,,,,
221,2019-08-08,10899.2,11058.05,10842.95,11032.45,482471622,20667.6,,,,,
222,2019-08-09,11087.9,11181.45,11062.8,11109.65,538063563,21092.05,,,,,
223,2019-08-13,11139.4,11145.9,10901.6,10925.85,624634647,24790.67,,,,,
224,2019-08-14,11003.25,11078.15,10935.6,11029.4,511541716,19712.81,,,,,
225,2019-08-16,11043.65,11068.65,10924.3,11047.8,470909918,19281.91,,,,,
226,2019-08-19,11094.8,11146.9,11037.85,11053.9,369493161,14120.35,,,,,
227,2019-08-20,11063.9,11076.3,10985.3,11017,444715679,16915.96,,,,,
228,2019-08-21,11018.15,11034.2,10906.65,10918.7,557867906,16747.99,,,,,
229,2019-08-22,10905.3,10908.25,10718.3,10741.35,668193449,18764.38,,,,,
230,2019-08-23,10699.6,10862.55,10637.15,10829.35,667079625,20983.75,,,,,
231,2019-08-26,11000.3,11070.3,10756.55,11057.85,684141923,22375.99,,,,,
232,2019-08-27,11106.55,11141.75,11049.5,11105.35,685551267,27413.16,,,,,
233,2019-08-28,11101.3,11129.65,10987.65,11046.1,549954696,16739.43,,,,,
234,2019-08-29,10996.05,11021.1,10922.4,10948.3,649876160,20127.77,,,,,
235,2019-08-30,10987.8,11042.6,10874.8,11023.25,628154431,21057.31,,,,,
236,2019-09-03,10960.95,10967.5,10772.7,10797.9,483038985,16595.6,,,,,
237,2019-09-04,10790.4,10858.75,10746.35,10844.65,508784352,19195.1,,,,,
238,2019-09-05,10860.95,10920.1,10816,10847.9,595699267,18279.88,,,,,
239,2019-09-06,10883.8,10957.05,10867.45,10946.2,497214445,18167.78,,,,,
240,2019-09-09,10936.7,11028.85,10889.8,11003.05,412471067,14762.07,,,,,
241,2019-09-11,11028.5,11054.8,11011.65,11035.7,687140326,19550.59,,,,,
242,2019-09-12,11058.3,11081.75,10964.95,10982.8,551436050,17510.17,,,,,
243,2019-09-13,10986.8,11084.45,10945.75,11075.9,624305151,18012.76,,,,,
244,2019-09-16,10994.85,11052.7,10968.2,11003.5,434449776,15786.17,,,,,
245,2019-09-17,11000.1,11000.1,10796.5,10817.6,482013044,17721.93,,,,,
